brand,model,year,mileage,fuel,transmission,exterior,interior,accident
Toyota,Corolla,2010,120000,Petrol,Manual,3,3,No
Honda,Civic,2015,80000,Diesel,Automatic,4,4,Yes
Ford,Figo,2020,20000,Petrol,Manual,5,5,No
Toyota,Camry,2018,50000,Petrol,Automatic,4,4,No
Honda,Accord,2017,40000,Petrol,Automatic,4,3,No
Ford,Focus,2016,70000,Diesel,Manual,3,4,Yes
Nissan,Sentra,2019,30000,Petrol,Automatic,5,5,No
Hyundai,Elantra,2014,90000,Petrol,Manual,3,4,No
BMW,320i,2015,60000,Diesel,Automatic,4,4,No
Audi,A4,2017,40000,Petrol,Automatic,5,5,No
Mazda,3,2013,85000,Petrol,Manual,3,3,No
Volkswagen,Passat,2016,70000,Diesel,Automatic,4,4,No
Chevrolet,Cruze,2018,40000,Petrol,Manual,4,3,No
Kia,Optima,2015,56000,Petrol,Automatic,4,4,Yes
Subaru,Impreza,2019,20000,Petrol,Automatic,5,5,No
Mercedes,C-Class,2017,30000,Diesel,Automatic,5,5,No
Tesla,Model 3,2021,15000,Electric,Automatic,5,5,No
Volkswagen,Golf,2014,80000,Petrol,Manual,3,4,No
Honda,Fit,2012,90000,Petrol,Manual,3,3,No
Toyota,RAV4,2019,25000,Hybrid,Automatic,5,5,No
