brand,model,year,mileage,fuel,transmission,exterior,interior,accident,price
Toyota,Corolla,2010,120000,Petrol,Manual,3,3,No,2000
Honda,Civic,2015,80000,Diesel,Automatic,4,4,Yes,5000
Ford,Figo,2020,20000,Petrol,Manual,5,5,No,15000
Toyota,Camry,2018,50000,Petrol,Automatic,4,4,No,12000
Honda,Accord,2017,40000,Petrol,Automatic,4,3,No,11000
Ford,Focus,2016,70000,Diesel,Manual,3,4,Yes,6000
Nissan,Sentra,2019,30000,Petrol,Automatic,5,5,No,13000
Hyundai,Elantra,2014,90000,Petrol,Manual,3,4,No,4000
BMW,320i,2015,60000,Diesel,Automatic,4,4,No,17000
Audi,A4,2017,40000,Petrol,Automatic,5,5,No,19000
Mazda,3,2013,85000,Petrol,Manual,3,3,No,3500
Volkswagen,Passat,2016,70000,Diesel,Automatic,4,4,No,8000
Chevrolet,Cruze,2018,40000,Petrol,Manual,4,3,No,10000
Kia,Optima,2015,56000,Petrol,Automatic,4,4,Yes,7500
Subaru,Impreza,2019,20000,Petrol,Automatic,5,5,No,14000
Mercedes,C-Class,2017,30000,Diesel,Automatic,5,5,No,22000
Tesla,Model 3,2021,15000,Electric,Automatic,5,5,No,35000
Volkswagen,Golf,2014,80000,Petrol,Manual,3,4,No,6000
Honda,Fit,2012,90000,Petrol,Manual,3,3,No,3200
Toyota,RAV4,2019,25000,Hybrid,Automatic,5,5,No,23000
